Nom de la solution;Emission;Action Plan;Automation;Upskilling;Link;description
Greenly;2.3;3;2.3;2;https://www.greenly.earth/fr-fr/plans-daction?utm_term=greenly&utm_campaign=sn-brand-fr&utm_source=google&utm_medium=cpc&utm_content=574621659266&gclid=EAIaIQobChMInbyGm5um-gIVRoBQBh0tIgceEAAYASAAEgJJWPD_BwE;
ClimatePartner;2.3;2.5;2;1;https://ftp.climatepartner.com/download/CP_Protocol_EN.pdf;
Persefoni;2.5;1;1;1;https://persefoni.com/product;
Envizi;3;1.5;3;3;https://envizi.com/solutions/;
Sami;3;3;3;3;https://www.sami.eco/;
Optel CarboTrace;3;1;3;3;https://www.optelgroup.com/fr/blog/protocole-ges-et-carbotrace/;
GreenFeet;3;1;3;1;https://greenfeet.com/product/;
PlanA;2;3;3;1;https://fr.plana.earth/product;
Carbo;3;3;3;1;https://www.hellocarbo.com/;
Sinai;3;3;3;3;https://www.sinaitechnologies.com/solution-carbon-strategy;
Avarni;2;1;3;3;https://www.avarni.co/product-tour;
Altopi;2.3;1;1.8;1.4;https://www.altopi.eco/solutions/bilan-carbone;
Carbon Trust;3;2;2;1;https://www.carbontrust.com/;
Carbometrix;3;2;1;1;https://carbometrix.com/;
Normative;3;2;3;1;https://normative.io/product/;
Greenscope;3;2;3;2;https://fr.greenscope.io/solution;
